,wi_acc,ac_acc,wi_tout,ac_tout,wi_RT,ac_RT
9,0.8333333333333334,0.8,0.0,0.0,1360.349369048,1319.3218111975
11,1.0,1.0,0.0,0.0,1317.5598382961664,1336.749839782
13,1.0,1.0,0.0,0.0,1958.0633640283334,2453.987979888
15,0.8333333333333334,1.0,0.0,0.0,2265.100193024,2432.81302452
16,0.8333333333333334,1.0,0.0,0.0,1923.301839828,1624.386167524
19,0.6666666666666666,0.0,0.0,0.0,1411.886930465,0.0
